Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad
0.34,-0.103822964673877,0.136236135365774,0.0173613571608151,-0.0774664607003796
0.35,-0.10260456235215,0.136405958634064,0.0173160430137243,-0.0788683535406536
0.36,-0.101373994679441,0.136521500046677,0.0172151970245857,-0.0801222672171737
0.37,-0.10013129340802,0.136581777277274,0.0170594408277485,-0.0812267985952574
0.38,-0.0988765292021127,0.136585911690628,0.016849565701881,-0.0821810512346657
0.39,-0.097609811202311,0.136533129325823,0.0165865205474364,-0.0829846095690368
0.4,-0.0963312864711139,0.136422761524404,0.0162714002521676,-0.0836375136585695
0.41,-0.0950411393280189,0.136254245221565,0.0159054344401974,-0.0841402345178103
0.42,-0.0937395905823187,0.136027122918083,0.0154899766000354,-0.0844936500200179
0.43,-0.0924268966714858,0.135741042350272,0.0150264935868295,-0.0846990213791956
0.44,-0.0911033487127638,0.135395755874839,0.0145165554940309,-0.0847579702104974
0.45,-0.0897692714753213,0.13499111958514,0.0139618258895481,-0.0846724561693309
0.46,-0.0884250222800648,0.134527092174887,0.0133640524113643,-0.0844447551690941
0.47,-0.0870709898339528,0.134003733564989,0.0127250577174952,-0.0840774381770982
0.48,-0.0857075930054012,0.13342120330879,0.0120467307850668,-0.0835733505878502
0.49,-0.0843352795471203,0.132779758790555,0.0113310185532038,-0.0829355921724839
0.5,-0.0829545247724822,0.132079753231657,0.0105799179043268,-0.0821674976027562
0.51,-0.0815658301912722,0.13132163351853,0.00979546797837575,-0.0812726175476475
0.52,-0.080169722110445,0.130505937866012,0.00897974281439242,-0.0802547003402384
0.53,-0.07876675020527,0.12963329332934,0.00813484431381975,-0.0791176742121694
0.54,-0.077357486066023,0.128704413177644,0.00726289551980132,-0.0778656300926306
0.55,-0.0759425217251532,0.127720094141376,0.00636603420669635,-0.0765028049684752
0.56,-0.074522468169637,0.126681213545735,0.0054464067739601,-0.0750335658017028
0.57,-0.0730979538430088,0.125588726341756,0.00450616243847987,-0.0734623940002193
0.58,-0.0716696231413483,0.124443662046311,0.00354744771940067,-0.0717938704374448
0.59,-0.0702381349072935,0.123247121601928,0.00257240120942372,-0.0700326610160174
0.6,-0.0688041609259438,0.122000274166902,0.00158314862651426,-0.0681835027705228
0.61,-0.0673683844263181,0.120704353845836,0.00058179813991321,-0.0662511905038688
0.62,-0.0659314985918334,0.119360656370329,-0.000429564035689638,-0.0642405639516265
0.63,-0.0644942050830806,0.11797053573919,-0.00144887778399581,-0.0621564954683676
0.64,-0.0630572125759843,0.116535400827167,-0.00247411297515406,-0.0600038782297436
0.65,-0.0616212353182495,0.11505671197082,-0.00350327310425697,-0.0577876149437849
0.66,-0.0601869917068208,0.113535977539799,-0.00453439868652141,-0.0555126070646318
